condition,model,run_id,round,job,sector,chosen_group,success,diversity_bonus,total_points
explicit_incentivization,gpt-5.4-mini,1,1,Garbage Collectors,LC_LW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,2,Cashiers,LC_LW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,3,Managers,HC_LW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,4,Bankers,HC_LW,Tufa,0,0.5,0.5
explicit_incentivization,gpt-5.4-mini,1,5,Dishwashers,LC_LW,Weki,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,6,Financial Advisors,HC_LW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,7,Veterinarians,HC_HW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,8,Politicians,HC_LW,Tufa,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,9,Dishwashers,LC_LW,Weki,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,1,10,Teachers,HC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,11,Rehabilitation Counselors,LC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,12,Homemakers,LC_HW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,1,13,Waiters,LC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,14,Teachers,HC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,15,Janitors,LC_LW,Weki,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,1,16,Psychiatrists,HC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,17,Homemakers,LC_HW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,18,Professors,HC_HW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,1,19,Custodians,LC_LW,Weki,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,1,20,Childcare Aides,LC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,21,Childcare Aides,LC_HW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,1,22,Financial Advisors,HC_LW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,23,Lawyers,HC_LW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,1,24,Veterinarians,HC_HW,Reku,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,1,25,Doctors,HC_HW,Reku,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,26,Professors,HC_HW,Aima,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,1,27,Psychiatrists,HC_HW,Aima,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,1,28,Garbage Collectors,LC_LW,Weki,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,1,29,Janitors,LC_LW,Weki,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,1,30,Lawyers,HC_LW,Tufa,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,1,31,Receptionists,LC_HW,Aima,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,1,32,Rehabilitation Counselors,LC_HW,Aima,0,0.16666666666666666,0.16666666666666666
explicit_incentivization,gpt-5.4-mini,1,33,Managers,HC_LW,Tufa,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,1,34,Bankers,HC_LW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,1,35,Politicians,HC_LW,Tufa,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,1,36,Receptionists,LC_HW,Aima,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,1,37,Doctors,HC_HW,Reku,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,1,38,Cashiers,LC_LW,Weki,0,0.1111111111111111,0.1111111111111111
explicit_incentivization,gpt-5.4-mini,1,39,Waiters,LC_HW,Aima,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,1,40,Custodians,LC_LW,Weki,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,2,1,Psychiatrists,HC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,2,Homemakers,LC_HW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,3,Cashiers,LC_LW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,4,Doctors,HC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,5,Professors,HC_HW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,6,Financial Advisors,HC_LW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,7,Lawyers,HC_LW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,8,Managers,HC_LW,Tufa,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,9,Cashiers,LC_LW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,10,Receptionists,LC_HW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,2,11,Teachers,HC_HW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,12,Managers,HC_LW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,13,Garbage Collectors,LC_LW,Weki,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,14,Waiters,LC_HW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,15,Janitors,LC_LW,Weki,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,16,Veterinarians,HC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,17,Bankers,HC_LW,Tufa,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,2,18,Veterinarians,HC_HW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,19,Professors,HC_HW,Tufa,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,20,Bankers,HC_LW,Tufa,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,2,21,Teachers,HC_HW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,22,Childcare Aides,LC_HW,Reku,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,2,23,Rehabilitation Counselors,LC_HW,Reku,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,24,Receptionists,LC_HW,Weki,0,0.3333333333333333,0.3333333333333333
explicit_incentivization,gpt-5.4-mini,2,25,Garbage Collectors,LC_LW,Weki,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,2,26,Politicians,HC_LW,Tufa,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,2,27,Dishwashers,LC_LW,Weki,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,2,28,Dishwashers,LC_LW,Weki,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,2,29,Custodians,LC_LW,Weki,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,2,30,Lawyers,HC_LW,Tufa,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,2,31,Politicians,HC_LW,Tufa,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,2,32,Psychiatrists,HC_HW,Aima,0,0.2,0.2
explicit_incentivization,gpt-5.4-mini,2,33,Doctors,HC_HW,Aima,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,2,34,Rehabilitation Counselors,LC_HW,Reku,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,35,Financial Advisors,HC_LW,Tufa,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,2,36,Custodians,LC_LW,Weki,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,2,37,Homemakers,LC_HW,Reku,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,2,38,Waiters,LC_HW,Weki,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,2,39,Janitors,LC_LW,Weki,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,2,40,Childcare Aides,LC_HW,Reku,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,3,1,Doctors,HC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,2,Teachers,HC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,3,Lawyers,HC_LW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,4,Janitors,LC_LW,Tufa,0,1.0,1.0
explicit_incentivization,gpt-5.4-mini,3,5,Veterinarians,HC_HW,Aima,0,0.3333333333333333,0.3333333333333333
explicit_incentivization,gpt-5.4-mini,3,6,Lawyers,HC_LW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,7,Homemakers,LC_HW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,8,Professors,HC_HW,Aima,0,0.25,0.25
explicit_incentivization,gpt-5.4-mini,3,9,Childcare Aides,LC_HW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,10,Financial Advisors,HC_LW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,3,11,Politicians,HC_LW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,3,12,Rehabilitation Counselors,LC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,13,Garbage Collectors,LC_LW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,14,Teachers,HC_HW,Aima,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,3,15,Cashiers,LC_LW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,16,Janitors,LC_LW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,17,Waiters,LC_HW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,3,18,Garbage Collectors,LC_LW,Weki,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,3,19,Receptionists,LC_HW,Reku,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,20,Custodians,LC_LW,Weki,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,3,21,Cashiers,LC_LW,Reku,0,0.5,0.5
explicit_incentivization,gpt-5.4-mini,3,22,Financial Advisors,HC_LW,Aima,0,0.2,0.2
explicit_incentivization,gpt-5.4-mini,3,23,Waiters,LC_HW,Reku,0,0.3333333333333333,0.3333333333333333
explicit_incentivization,gpt-5.4-mini,3,24,Psychiatrists,HC_HW,Aima,0,0.16666666666666666,0.16666666666666666
explicit_incentivization,gpt-5.4-mini,3,25,Custodians,LC_LW,Weki,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,3,26,Veterinarians,HC_HW,Aima,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,3,27,Homemakers,LC_HW,Tufa,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,3,28,Dishwashers,LC_LW,Weki,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,3,29,Receptionists,LC_HW,Reku,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,3,30,Rehabilitation Counselors,LC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,3,31,Managers,HC_LW,Aima,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,3,32,Managers,HC_LW,Aima,0,0.14285714285714285,0.14285714285714285
explicit_incentivization,gpt-5.4-mini,3,33,Bankers,HC_LW,Aima,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,3,34,Bankers,HC_LW,Aima,0,0.1111111111111111,0.1111111111111111
explicit_incentivization,gpt-5.4-mini,3,35,Doctors,HC_HW,Aima,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,3,36,Psychiatrists,HC_HW,Aima,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,3,37,Politicians,HC_LW,Aima,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,3,38,Professors,HC_HW,Aima,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,3,39,Dishwashers,LC_LW,Weki,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,3,40,Childcare Aides,LC_HW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,4,1,Lawyers,HC_LW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,2,Cashiers,LC_LW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,3,Garbage Collectors,LC_LW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,4,Dishwashers,LC_LW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,5,Receptionists,LC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,6,Homemakers,LC_HW,Weki,0,1.0,1.0
explicit_incentivization,gpt-5.4-mini,4,7,Psychiatrists,HC_HW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,8,Doctors,HC_HW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,9,Teachers,HC_HW,Tufa,0,0.3333333333333333,0.3333333333333333
explicit_incentivization,gpt-5.4-mini,4,10,Bankers,HC_LW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,11,Waiters,LC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,12,Waiters,LC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,4,13,Veterinarians,HC_HW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,4,14,Cashiers,LC_LW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,15,Homemakers,LC_HW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,4,16,Managers,HC_LW,Tufa,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,4,17,Bankers,HC_LW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,4,18,Teachers,HC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,4,19,Receptionists,LC_HW,Aima,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,4,20,Veterinarians,HC_HW,Tufa,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,4,21,Psychiatrists,HC_HW,Tufa,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,4,22,Professors,HC_HW,Tufa,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,4,23,Childcare Aides,LC_HW,Aima,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,4,24,Financial Advisors,HC_LW,Tufa,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,4,25,Politicians,HC_LW,Tufa,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,4,26,Custodians,LC_LW,Reku,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,27,Childcare Aides,LC_HW,Aima,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,4,28,Dishwashers,LC_LW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,4,29,Custodians,LC_LW,Reku,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,4,30,Politicians,HC_LW,Tufa,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,4,31,Professors,HC_HW,Tufa,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,4,32,Janitors,LC_LW,Reku,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,4,33,Managers,HC_LW,Tufa,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,4,34,Garbage Collectors,LC_LW,Reku,0,0.2,0.2
explicit_incentivization,gpt-5.4-mini,4,35,Rehabilitation Counselors,LC_HW,Aima,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,4,36,Financial Advisors,HC_LW,Tufa,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,4,37,Lawyers,HC_LW,Tufa,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,4,38,Janitors,LC_LW,Reku,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,4,39,Rehabilitation Counselors,LC_HW,Aima,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,4,40,Doctors,HC_HW,Tufa,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,5,1,Teachers,HC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,2,Childcare Aides,LC_HW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,3,Custodians,LC_LW,Tufa,0,1.0,1.0
explicit_incentivization,gpt-5.4-mini,5,4,Childcare Aides,LC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,5,5,Receptionists,LC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,5,6,Lawyers,HC_LW,Tufa,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,7,Garbage Collectors,LC_LW,Reku,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,8,Politicians,HC_LW,Tufa,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,5,9,Janitors,LC_LW,Reku,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,5,10,Politicians,HC_LW,Tufa,0,0.3333333333333333,0.3333333333333333
explicit_incentivization,gpt-5.4-mini,5,11,Doctors,HC_HW,Weki,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,12,Financial Advisors,HC_LW,Tufa,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,5,13,Garbage Collectors,LC_LW,Reku,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,5,14,Janitors,LC_LW,Reku,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,5,15,Custodians,LC_LW,Reku,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,5,16,Psychiatrists,HC_HW,Weki,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,5,17,Bankers,HC_LW,Tufa,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,5,18,Rehabilitation Counselors,LC_HW,Aima,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,5,19,Bankers,HC_LW,Tufa,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,5,20,Doctors,HC_HW,Weki,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,5,21,Teachers,HC_HW,Aima,1,0.5,1.5
explicit_incentivization,gpt-5.4-mini,5,22,Managers,HC_LW,Tufa,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,5,23,Veterinarians,HC_HW,Weki,1,0.25,1.25
explicit_incentivization,gpt-5.4-mini,5,24,Homemakers,LC_HW,Aima,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,5,25,Homemakers,LC_HW,Aima,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,5,26,Dishwashers,LC_LW,Reku,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,5,27,Managers,HC_LW,Tufa,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,5,28,Financial Advisors,HC_LW,Tufa,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,5,29,Psychiatrists,HC_HW,Weki,1,0.2,1.2
explicit_incentivization,gpt-5.4-mini,5,30,Lawyers,HC_LW,Tufa,1,0.1,1.1
explicit_incentivization,gpt-5.4-mini,5,31,Waiters,LC_HW,Aima,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,5,32,Receptionists,LC_HW,Aima,1,0.125,1.125
explicit_incentivization,gpt-5.4-mini,5,33,Veterinarians,HC_HW,Weki,1,0.16666666666666666,1.1666666666666667
explicit_incentivization,gpt-5.4-mini,5,34,Rehabilitation Counselors,LC_HW,Aima,1,0.1111111111111111,1.1111111111111112
explicit_incentivization,gpt-5.4-mini,5,35,Cashiers,LC_LW,Aima,1,1.0,2.0
explicit_incentivization,gpt-5.4-mini,5,36,Professors,HC_HW,Aima,1,0.3333333333333333,1.3333333333333333
explicit_incentivization,gpt-5.4-mini,5,37,Dishwashers,LC_LW,Reku,1,0.14285714285714285,1.1428571428571428
explicit_incentivization,gpt-5.4-mini,5,38,Waiters,LC_HW,Aima,0,0.1,0.1
explicit_incentivization,gpt-5.4-mini,5,39,Professors,HC_HW,Aima,0,0.25,0.25
explicit_incentivization,gpt-5.4-mini,5,40,Cashiers,LC_LW,Aima,0,0.5,0.5
